id,age,annual_income,monthly_debt,credit_score,num_credit_lines,employment_years,loan_amount,loan_term_months,num_late_payments,savings_balance,education,home_status,loan_purpose,region,noise_num_1,noise_num_2,noise_cat_1,noise_num_3,noise_num_4,default
1051,45,53807,1089.84,,3,0.5,20622,60,0,4731.33,High School,Mortgage,Home Improvement,South,0.363746377,-1.552113675,B,23,395.5888285,0
1052,22,58189,3798.31,,9,20.4,10926,84,0,,High School,Mortgage,Home Improvement,North,-0.542756723,0.69139766,C,35,27.53247033,0
1053,21,74222,685.45,675,4,1.7,7708,36,0,1174.83,Bachelor,Own,Education,South,0.18301272,1.716215952,B,64,125.8853624,0
1054,30,145157,1841.22,633,3,,15519,36,1,6550.05,High School,Own,Debt Consolidation,South,-0.972850625,-0.014893211,B,82,1016.853313,0
1055,61,39656,1868.33,,0,,15934,60,0,3809.25,PhD,Own,Business,Central,0.080160542,-0.723530252,A,14,2451.129119,1
1056,52,32919,670.01,679,3,13.1,1000,60,1,,Bachelor,Mortgage,Debt Consolidation,North,1.530574801,1.386973573,B,75,144.1097431,1
1057,27,51600,2642.62,614,0,0.8,27476,24,0,,Bachelor,Rent,Other,West,-0.813349325,-0.01576504,D,68,105.8075898,0
1058,37,90410,1808.78,741,5,8.7,16939,36,0,2353.63,High School,Mortgage,Business,Central,0.104643944,0.29840024,D,73,144.365401,1
1059,38,105776,2664.21,829,3,7.1,35974,24,0,1116.28,PhD,Mortgage,Debt Consolidation,Central,0.708767917,-1.458763417,A,75,57.71868324,0
1060,35,128019,1182.8,656,5,,15707,60,1,5705.04,Master,Rent,Home Improvement,West,1.504241955,0.123802577,A,31,53.65983396,0
1061,21,56150,6761.23,808,7,0.5,2788,48,2,,PhD,Rent,Medical,West,0.385154155,0.876167842,A,92,12.29822325,1
1062,32,27050,969.08,696,7,,6594,36,0,4387.56,High School,Rent,Other,East,1.146380144,-0.81535286,A,21,45.59102715,0
1063,28,57134,3734.72,716,2,0.4,52340,36,0,,None,Mortgage,Home Improvement,West,-0.450470053,-0.091624822,A,22,439.4990386,0
1064,39,67738,2489.19,597,2,7.2,16213,12,1,1600.42,High School,Mortgage,Medical,Central,-0.903749387,0.968471646,A,52,351.6608406,0
1065,33,158740,1355.07,608,6,15.4,39787,84,0,11483.03,High School,Mortgage,Debt Consolidation,Central,0.530913161,0.766508474,D,18,49.20018269,0
1066,56,46637,1644.08,610,6,4.4,3367,36,2,1709.26,Master,Own,Other,West,-1.464732716,-0.393761353,C,65,417.5662223,0
1067,44,,2177.29,622,4,6,22526,36,0,1111.83,None,Other,Debt Consolidation,South,0.052273187,-0.741169194,C,68,60.98580658,0
1068,31,60250,1054.78,492,10,0.8,30520,60,,3414.1,PhD,Mortgage,Debt Consolidation,South,0.301471773,-0.399458992,B,35,908.9896522,0
1069,32,53020,532,714,2,3.5,11991,60,1,,Bachelor,Mortgage,Education,Central,-0.787809603,1.503435808,B,3,412.4653069,0
1070,49,72471,1379.38,591,2,,11021,48,1,3370.36,High School,Mortgage,Medical,South,-0.260820041,-0.194968571,D,68,50.91743188,0
1071,29,114903,1475.54,664,7,1.4,36503,84,1,7918.82,Bachelor,Mortgage,Business,Central,1.654536737,-1.792181424,C,75,28.62691395,0
1072,31,,2866.42,576,2,0.9,5005,36,,2934.7,None,Mortgage,Home Improvement,East,0.653932814,0.146411326,B,94,749.4651685,0
1073,30,,6245.16,627,5,13.6,10118,12,,901.67,High School,Mortgage,Home Improvement,West,0.405622898,-0.131224281,B,66,161.1241694,0
1074,46,110052,1108.99,751,6,2.2,8761,12,0,3112.64,High School,Mortgage,Home Improvement,East,-0.971583249,-0.721750232,A,76,92.92618473,0
1075,65,38489,1577.53,698,6,1.1,19262,24,0,3713.87,Master,Rent,Other,East,0.198826018,0.808054927,A,91,75.19264446,0
1076,29,41806,923.76,609,3,,26829,84,0,992.7,High School,Mortgage,Medical,North,0.042552929,-0.765513962,A,81,283.1655808,0
1077,30,52591,634.22,,8,3.2,14374,48,1,14560.94,Master,Own,Medical,Central,-0.055217506,-0.125039735,B,82,80.93384638,0
1078,25,94056,1688.43,527,10,8.2,6984,24,0,2603.6,Master,Other,Medical,West,-1.830937341,-1.044811867,C,47,575.0897808,0
1079,23,94413,872.66,707,2,2.8,10651,84,1,42453.05,Bachelor,Mortgage,Debt Consolidation,West,0.59477518,-0.75022199,A,58,41.50381415,0
1080,48,60179,3761.49,744,5,6,9617,12,0,2747.06,Bachelor,Rent,Other,East,0.170056115,0.962440904,C,26,1231.046617,0
1081,27,,2850.56,538,3,,39379,48,5,,Bachelor,Rent,Home Improvement,Central,-0.046093001,1.462711875,A,12,255.452845,0
1082,33,139125,1153.58,747,2,,14133,24,0,19286.84,Bachelor,Mortgage,Home Improvement,West,0.348373045,-0.201757342,D,84,77.92471045,0
1083,39,55945,4586.56,765,7,,2851,48,1,,PhD,Own,Debt Consolidation,South,-0.954334052,-1.165106707,D,63,24.43074577,0
1084,58,132683,1224.8,674,6,6.4,4830,36,1,19287.81,PhD,Mortgage,Debt Consolidation,North,0.007602633,0.095543267,D,30,164.2762818,0
1085,51,49170,1631.62,699,7,2.9,14628,84,0,62799.02,High School,Mortgage,Medical,East,-0.022893056,0.054543128,A,35,151.7714921,0
1086,42,38666,1220.73,,9,6.3,3587,12,1,60997.78,Bachelor,Rent,Debt Consolidation,North,-0.649508522,0.765134018,A,13,406.6791114,0
1087,22,,2167.02,,7,8.8,8627,84,0,1516.28,Bachelor,Mortgage,Home Improvement,South,-0.036434442,1.154853261,B,25,125.4554709,0
1088,41,63812,3607.21,591,3,8.2,6776,12,1,3876.59,High School,Rent,Other,South,2.064486652,0.300969667,C,74,105.3474212,0
1089,39,41137,5144.8,616,4,0.6,23386,36,1,1118.34,Bachelor,Own,Business,South,-1.223004111,0.019066045,A,35,386.7537802,1
1090,18,35986,795.47,719,3,16.8,20908,36,0,,High School,Mortgage,Debt Consolidation,South,-0.336626781,-0.065159522,A,38,54.87792232,0
1091,26,81772,1746.89,609,2,0.7,6467,60,0,7775.5,None,Mortgage,Debt Consolidation,West,-0.156331237,0.471203099,D,8,45.20521033,0
1092,53,62058,844.96,,3,4.9,18403,60,1,8119.1,High School,Rent,Home Improvement,Central,0.267972769,1.333745555,C,79,298.9108092,0
1093,51,70711,722.92,570,6,,14106,36,1,2780.67,High School,Mortgage,Education,Central,-0.725128654,0.143963583,A,40,42.62322068,0
1094,19,46358,1774.92,736,2,5.9,13262,36,0,2837.79,Bachelor,Mortgage,Medical,East,-0.305557391,-0.046782139,D,46,1217.105971,0
1095,38,,8200.28,,3,1.2,28053,36,0,32553.77,High School,Rent,Medical,Central,-0.643583736,-0.655323814,C,28,155.1439955,0
1096,41,91192,1308.77,,3,1.7,7463,24,1,1246.31,Bachelor,Own,Debt Consolidation,East,-0.958189759,1.550601771,D,95,561.1853956,0
1097,34,37189,2724.23,,5,5,7964,12,1,,Bachelor,Rent,Other,East,-0.096546143,-0.251879001,B,52,78.58581577,1
1098,34,23448,554.37,,3,0.6,4546,36,0,10740.35,High School,Mortgage,Other,North,0.723681507,0.905086415,B,48,247.1446327,0
1099,34,71820,5045.66,626,2,5.6,3088,48,1,10441.41,High School,Own,Business,South,-0.17848683,0.110698432,D,31,393.7654843,0
1100,36,,2801.92,653,4,16.6,35029,60,1,4358.82,Master,Other,Medical,West,0.043494334,-0.509730226,D,60,130.9033399,0
1101,31,38105,2018.01,708,4,,25532,36,1,13185.54,Master,Mortgage,Debt Consolidation,North,0.292156231,0.545168714,A,50,892.6584476,1
1102,38,48636,1748.57,664,1,2.3,5017,24,0,6916.28,Bachelor,Own,Medical,Central,-1.958708794,0.597178355,D,34,128.757823,0
1103,34,31741,486.21,843,3,0.6,4631,12,1,1090.48,High School,Mortgage,Debt Consolidation,West,-1.013077205,-0.31274113,A,15,411.6064556,0
1104,33,81639,3204.36,501,4,1.4,25312,60,,10774.74,High School,Own,Debt Consolidation,South,1.022294565,0.561304744,B,18,106.833598,0
1105,18,,2078.68,686,3,0.2,3440,48,,5898.37,Master,Rent,Business,West,1.073091731,1.199011397,A,64,686.9906405,0
1106,44,54795,1002.65,,4,1.5,9041,36,,,Bachelor,Rent,Business,North,0.182318194,0.166332807,D,3,55.79003005,0
1107,38,82737,1551.26,,4,2.8,6674,24,0,30973.12,High School,Rent,Home Improvement,West,-0.331482737,1.233384118,C,51,239.3695168,0
1108,38,38499,1519.77,749,3,,39426,24,1,1755.93,Bachelor,Rent,Debt Consolidation,West,-1.75133854,-0.870587554,D,40,214.5538217,0
1109,50,,814.53,543,6,0.5,10028,48,,5066.27,High School,Mortgage,Debt Consolidation,South,0.634169583,0.998210264,B,73,85.53534249,0
1110,18,22761,2323.46,778,4,0.2,26303,24,0,,High School,Own,Debt Consolidation,East,1.119329279,1.571532726,C,20,34.5137789,1
1111,38,18191,2548.27,,3,17.2,18708,12,,810.97,Bachelor,Mortgage,Other,West,1.120601268,-0.965449649,B,9,388.8698779,0
1112,32,27264,1242.48,636,2,21,7577,60,3,7011.87,None,Rent,Other,East,0.610523303,1.084372112,B,73,129.7576865,0
1113,46,21034,1905.19,578,5,14.2,18066,84,,35374.41,Master,Other,Education,West,-0.249824162,-0.870272439,D,48,11.43029463,1
1114,49,61567,1925.51,,4,8.2,7275,48,0,44322.51,Bachelor,Own,Education,West,0.016792567,1.021510843,B,73,109.3318542,0
1115,44,80368,2057.56,797,5,0.6,12224,84,0,12991.41,High School,Mortgage,Debt Consolidation,East,0.646377688,0.970432326,B,89,185.3500504,0
1116,35,,819.25,595,2,4.9,43087,60,0,14079.73,Bachelor,Rent,Medical,Central,0.865004273,-0.446147695,C,4,443.2649955,0
1117,53,57853,2739.9,666,5,2.2,9874,36,1,5817.04,PhD,Mortgage,Debt Consolidation,Central,-0.235447113,0.642656018,B,92,200.0225905,0
1118,46,66047,4231.11,746,8,5.6,8896,60,1,18929.74,High School,Mortgage,Business,North,0.345061866,-0.267140482,D,91,224.5131357,0
1119,46,,2811.07,735,5,0.5,39415,48,1,4658.84,Bachelor,Own,Debt Consolidation,South,1.628444023,-0.864267776,B,95,76.98863304,0
1120,35,121119,3479.84,615,5,4.7,9889,48,3,10736.89,High School,Rent,Medical,West,0.536028232,-0.996283618,B,95,46.72689569,0
1121,39,72876,2395.98,584,4,,24311,84,0,9090.51,Master,Rent,Business,West,-0.600976476,-0.044904281,C,84,103.5726092,0
1122,25,51422,2206.1,738,8,2,10137,60,1,,Master,Mortgage,Other,East,-0.335849978,1.127012089,B,73,278.180012,0
1123,45,20567,877.91,,7,9,2056,60,0,1134.96,PhD,Rent,Home Improvement,East,-0.122469667,-0.686792302,D,41,252.376078,0
1124,35,69207,5122.72,483,3,2.3,3738,48,1,,Master,Rent,Education,Central,3.020433704,1.152669617,D,38,755.0573663,1
1125,56,86420,7100.44,575,4,0.3,4496,84,2,17275.69,High School,Mortgage,Other,East,1.365089804,-1.671860984,C,44,78.30111684,0
1126,27,,2614.31,,5,1,72961,48,,2832.97,High School,Mortgage,Home Improvement,North,-0.318610542,1.602486429,D,32,25.84963518,0
1127,18,72745,1491.13,,4,2.2,36949,48,1,1076.32,Master,Rent,Medical,Central,0.173918254,-0.493018544,C,75,37.02682247,0
1128,25,46207,2369.61,599,3,,68008,24,0,26319.71,Bachelor,Mortgage,Medical,Central,-2.214376462,-0.169059124,C,74,375.9432273,0
1129,33,74323,1068.48,,2,2.5,22088,84,0,2188.95,High School,Mortgage,Debt Consolidation,South,0.046484272,-0.979140952,B,35,355.3418459,0
1130,46,31425,1166.19,529,4,0.5,14590,12,1,6890.28,Bachelor,Mortgage,Other,South,-0.848835437,0.219389035,C,56,132.9260044,0
1131,30,87412,1729.05,,1,2.3,10612,48,1,2688.6,Bachelor,Own,Education,West,0.238897368,0.766488244,B,14,66.39802247,0
1132,34,,2745.01,,2,3.7,9076,12,1,3389.35,Bachelor,Own,Debt Consolidation,South,-0.637641636,0.184062458,A,80,220.8195563,0
1133,46,46419,2897.92,701,2,2.9,11478,60,0,5215.77,Bachelor,Mortgage,Medical,Central,0.68734398,-1.226575353,B,15,223.3311236,0
1134,51,76882,200,591,2,6.4,1299,12,2,9250.22,PhD,Own,Debt Consolidation,North,0.9075057,0.663086653,C,80,144.3086821,0
1135,43,,979.35,550,3,8,9485,36,0,823.98,High School,Own,Debt Consolidation,North,0.242205818,0.483406642,D,41,185.4305862,0
1136,46,32996,1005.09,582,3,2.1,8630,12,0,3421.39,High School,Mortgage,Home Improvement,East,-0.29112072,-0.421348309,D,80,118.6532546,0
1137,25,84769,3290.49,,5,,22442,12,0,1545.59,Master,Mortgage,Other,East,-0.030681063,0.616921651,C,22,70.08412162,0
1138,50,56636,1501.4,673,3,5.3,24207,36,0,68542.66,None,Own,Other,South,-0.687319862,-0.768040914,A,42,76.25353592,0
1139,40,66231,1820.22,,4,,52759,36,1,1237.45,Bachelor,Mortgage,Other,South,0.870791779,0.663207659,C,69,41.80277993,1
1140,46,33020,2804.28,682,6,4.8,14534,48,2,8977.89,High School,Mortgage,Home Improvement,East,-0.419363613,0.816290246,B,25,180.0995432,0
1141,34,21607,351.15,731,4,5.5,17773,36,0,5833.15,Master,Mortgage,Other,Central,0.535826941,3.387616968,D,78,185.0659007,0
1142,41,44626,1081.55,758,5,0.1,12002,84,1,31502.91,None,Own,Debt Consolidation,South,1.419221733,-0.34124379,D,35,48.75635293,0
1143,31,37606,1278.74,682,4,8.4,5931,24,,1957.17,Bachelor,Mortgage,Debt Consolidation,North,-0.392836946,-0.923402563,A,17,206.6997684,0
1144,24,52339,632.88,588,4,0.2,17938,36,0,3637.3,High School,Rent,Debt Consolidation,West,-1.333122304,1.628271722,D,50,580.4296779,0
1145,25,52165,1378.51,744,1,3.4,20210,12,,33253.67,Bachelor,Rent,Debt Consolidation,North,0.455627871,0.784955238,C,43,74.46715228,0
1146,18,51003,1284.89,657,8,1.3,9857,24,1,4765.98,Bachelor,Mortgage,Other,West,0.734316351,0.638858956,B,49,286.6542382,0
1147,47,54524,2483.36,675,3,2.8,40330,84,,,Bachelor,Rent,Medical,North,0.177020361,-0.01937655,C,34,148.7708709,0
1148,33,99365,2908.71,,5,11.2,4642,60,1,1543.59,High School,Rent,Education,North,1.795608108,2.406489047,C,46,152.315749,0
1149,41,18333,1221.46,757,7,,4015,36,2,21220.49,PhD,Mortgage,Home Improvement,South,-0.252559159,0.27713623,C,1,283.2003212,0
1150,25,23862,2139.76,673,6,,6245,12,1,5714.49,Master,Mortgage,Medical,North,-0.110573725,0.014300759,D,50,138.2400876,0
1151,40,58655,816.35,,5,2.8,7973,48,0,1725.53,High School,Own,Debt Consolidation,West,-0.358641031,-0.557606194,B,67,84.85528749,0
1152,19,71056,2109.58,739,3,2.1,27458,84,1,,Master,Own,Other,East,0.033368514,-1.712766887,D,29,203.9330485,0
1153,50,83748,544.5,451,5,11.6,11348,12,1,1696.53,Master,Mortgage,Other,North,0.539626642,-0.57051834,A,13,114.9692797,0
1154,29,30396,1125.05,,4,0.5,10487,84,1,5646.2,None,Rent,Business,North,-0.020983633,0.436668243,D,11,256.3357056,0
1155,35,35488,200,828,5,0.5,39767,24,,4101.09,Master,Rent,Home Improvement,West,0.918951877,0.09347994,C,84,182.7910558,0
1156,19,,3402.56,601,5,15,11746,12,0,9283,PhD,Mortgage,Debt Consolidation,South,1.570058086,1.882573737,B,61,25.38081461,0
1157,43,45752,1467.25,574,5,7.4,18154,36,0,5187.71,Bachelor,Mortgage,Other,West,-0.389372804,-0.865216722,A,21,45.6626418,0
1158,33,93612,2608.83,627,1,1.1,6316,36,0,,Bachelor,Mortgage,Business,West,-0.270378931,-0.020929378,B,17,69.66343638,0
1159,25,,1371,630,4,,12822,84,0,8514.99,PhD,Other,Other,East,-0.509513973,0.991504145,C,92,125.1457125,0
1160,31,33401,2056.5,,3,,12359,12,0,26364.82,High School,Mortgage,Home Improvement,West,-0.838694522,-1.161830874,A,22,545.7606481,1
1161,51,,1853.27,,6,2.1,16260,24,0,20497.56,Bachelor,Own,Home Improvement,West,-0.224727895,1.593740405,A,19,476.1339693,0
1162,45,58453,1150.42,607,2,9.2,9844,24,1,3262.88,High School,Mortgage,Home Improvement,North,-0.353759778,-0.323323501,B,50,289.4248041,0
1163,36,68161,2697.38,659,4,0.5,4635,60,0,8152.63,Bachelor,Mortgage,Medical,Central,-0.984744824,-0.254432267,D,30,179.1734891,0
1164,45,,5282.09,605,8,,6015,84,0,,Bachelor,Rent,Home Improvement,West,0.988646226,-0.555159158,C,62,206.7384421,1
1165,38,146185,1944.52,769,6,3.1,2823,48,2,8324.59,Master,Rent,Debt Consolidation,Central,-0.072132585,-0.206362777,C,64,484.2119028,0
1166,40,51789,1002.02,601,7,,12212,84,,,Bachelor,Rent,Education,West,-0.199034269,1.032931638,B,76,223.3001975,0
1167,44,45892,3081.55,,5,,11061,84,0,,PhD,Mortgage,Debt Consolidation,South,-0.508232632,-0.39551776,A,17,179.5156248,0
1168,18,,3656.6,704,2,1.1,24760,12,0,4441.64,High School,Own,Debt Consolidation,Central,0.350123598,-0.149800118,A,82,44.02627142,0
1169,18,65219,750.43,719,6,8.5,23381,84,,4888,High School,Other,Medical,West,-0.842460741,1.393516247,C,2,247.2342553,0
1170,50,87907,691.78,580,3,5.2,26200,48,0,,Master,Rent,Education,East,0.063043036,0.156704942,C,42,96.3566841,0
1171,34,27128,659.92,629,4,11.4,5586,60,0,3617.63,PhD,Rent,Other,East,1.816977416,-1.669053629,A,63,20.68893529,0
1172,25,153835,906.73,566,2,3.6,3653,60,0,5088.98,None,Own,Debt Consolidation,North,0.167126817,0.118233938,C,61,138.0072071,0
1173,50,19572,821.74,722,4,0.6,3287,48,1,19503.71,Bachelor,Rent,Debt Consolidation,North,-1.225638301,-0.818020542,C,32,51.31520331,0
1174,18,48241,1738.7,617,2,6.3,6495,36,1,1670.09,None,Own,Education,West,0.894501318,0.455204694,C,63,89.86083066,0
1175,52,148879,1072.57,637,6,11.7,13921,48,,22036.33,High School,Mortgage,Other,Central,0.015816997,-0.398436448,C,64,227.1867205,0
1176,24,109981,1493.09,,4,8.1,21131,60,1,5306.65,Master,Own,Other,East,-0.663373523,-0.535461858,A,1,262.384431,0
1177,31,,2469.13,500,4,,8673,84,0,,PhD,Own,Debt Consolidation,South,-0.051560464,-0.738741413,A,8,60.52388644,0
1178,26,48809,1046.99,674,0,8.5,35160,60,1,3395.14,High School,Mortgage,Debt Consolidation,South,-1.443317629,-0.879063668,D,19,228.3745921,0
1179,47,15000,1085.61,620,1,2.7,52092,84,1,5232.31,Bachelor,Rent,Medical,North,1.850464916,1.026191943,D,29,70.13031916,1
1180,18,40479,1093.8,,3,6.6,4695,12,1,,Master,Mortgage,Education,North,2.37789218,0.382071131,C,77,612.2205389,0
1181,33,56350,1088.45,556,3,3.2,19018,24,,,None,Mortgage,Medical,North,1.719931049,0.364613483,A,85,111.3260018,1
1182,28,56331,589.9,589,3,0.9,21290,60,0,,High School,Mortgage,Education,East,1.580305954,0.713803626,D,90,58.13565373,0
1183,22,58022,1428.3,670,8,,53941,84,,,Master,Mortgage,Education,East,0.783878955,-1.387352378,A,56,200.769015,0
1184,57,,614.41,608,6,,20269,36,0,3494.01,None,Mortgage,Home Improvement,East,1.293413828,0.318127169,B,86,39.00423474,0
1185,38,98615,1947.67,,4,7.2,12577,48,1,21447.64,PhD,Rent,Debt Consolidation,North,-1.09275366,0.625895637,D,6,50.74814483,0
1186,24,67799,3082.71,792,7,10,5432,60,0,5818.51,Master,Rent,Debt Consolidation,Central,-1.072344703,0.95469302,A,44,474.4092205,0
1187,28,,332.22,699,3,6.2,35504,12,,756.62,Master,Mortgage,Home Improvement,West,-1.333738284,-1.390848892,A,66,185.669955,0
1188,23,39720,1083.95,477,3,2,9274,12,,1856.87,Bachelor,Mortgage,Home Improvement,Central,0.886984034,0.965183558,A,1,486.5980457,0
1189,39,63993,692.6,524,3,0.1,13581,84,1,53266.27,None,Rent,Debt Consolidation,Central,0.439879241,-0.236612532,A,15,48.76991814,0
1190,23,,1145.25,693,6,10.7,8324,60,1,16121.94,Bachelor,Rent,Home Improvement,East,0.856614486,-0.932066159,B,66,154.4015352,0
1191,33,26757,1086.75,605,1,0.2,14362,84,1,,Bachelor,Rent,Medical,South,-1.114355803,0.109208434,A,14,38.74185365,0
1192,18,53536,1296.56,554,4,,15494,84,1,31569.83,None,Rent,Home Improvement,East,1.256784348,0.421983956,B,57,118.4224804,0
1193,29,124398,1011.96,728,5,4.5,39632,48,,5641.69,High School,Mortgage,Home Improvement,North,1.796290938,0.196322752,B,32,416.1928191,0
1194,27,,5642.9,699,8,2.6,15823,60,,5190.82,Bachelor,Mortgage,Education,West,0.291148043,0.776465133,C,33,120.4533989,1
1195,28,148123,361.46,634,3,,25309,12,1,,Bachelor,Own,Debt Consolidation,East,-0.240869016,1.13272922,A,83,60.66716379,0
1196,62,54079,1224.81,662,0,9.8,6703,84,1,3434.63,Bachelor,Own,Other,East,-0.794477878,-0.717526083,B,84,92.02797419,0
1197,39,47387,986.41,613,5,,3899,24,,9553.13,Master,Own,Other,West,-0.504033193,0.118466565,C,93,161.6949951,0
1198,41,52574,541.95,578,4,,5608,24,0,3972.83,Bachelor,Mortgage,Medical,Central,-0.683366681,1.139178036,B,67,39.23202736,0
1199,30,,511.75,709,3,4.6,13438,36,0,,Bachelor,Mortgage,Debt Consolidation,West,0.100590694,-0.095623032,B,59,301.3505436,0
1200,41,83125,1310.79,604,4,14.1,21051,36,1,13783.87,High School,Own,Other,Central,-1.729097471,-0.125248451,A,29,95.73831246,0
1201,26,,1711.09,,3,1,15656,24,2,2976.26,Bachelor,Own,Business,Central,-0.052585944,0.858096882,B,2,7.930219329,0
1202,49,,1068.87,601,3,4.3,3220,48,0,4065.28,Master,Rent,Business,West,0.808660862,1.254845999,C,9,1354.353342,0
1203,24,67832,537.01,725,5,1.4,8612,60,1,3468.98,Bachelor,Mortgage,Home Improvement,South,1.361563159,-0.811825373,A,53,249.5119527,0
1204,31,98191,1060.74,777,2,0.6,4996,12,1,8051.53,Master,Mortgage,Business,South,0.045344217,0.375243036,D,38,119.2529791,0
1205,40,47879,3184.51,588,4,0.3,1163,24,1,633.33,High School,Mortgage,Home Improvement,South,0.298225209,-1.978292973,D,45,228.8577201,0
1206,30,57546,2594.83,588,3,,17616,84,,6017.2,Master,Mortgage,Home Improvement,Central,-0.143311688,0.243522652,A,40,138.0568839,0
1207,44,84485,1406.34,731,6,2.2,38895,60,1,1817.17,Master,Own,Debt Consolidation,North,1.359011098,0.781710663,B,11,91.83697724,0
1208,34,83848,1274.45,428,4,9.2,7194,12,0,,Master,Mortgage,Education,North,-1.262071884,-0.287998031,B,24,86.88575965,0
1209,39,18433,2638.33,633,4,6.3,3749,12,0,5428.82,Master,Own,Business,Central,-1.100943961,0.790654874,C,25,155.7948334,0
1210,47,65400,1709.36,502,4,,18026,24,1,3896.12,Bachelor,Own,Home Improvement,Central,2.258197603,0.383011628,D,81,136.6656629,0
1211,57,54326,840.69,473,5,,11185,60,,12371.41,High School,Rent,Business,North,0.262685857,-1.886446509,A,6,83.52026386,0
1212,40,,235.57,591,1,1.7,3435,36,1,4506.42,High School,Mortgage,Other,East,-1.230510964,-1.643535644,A,72,48.16325865,0
1213,35,65609,1065.03,663,2,0.1,21830,60,0,7767.14,PhD,Own,Debt Consolidation,West,-1.067718764,-0.373891716,B,11,65.56179049,0
1214,22,66897,2121.93,717,2,0,55675,12,1,,None,Rent,Debt Consolidation,West,-0.515870577,0.225152556,A,93,411.1758393,1
1215,50,46053,3360.07,558,0,0.1,23279,36,0,2991.62,Master,Rent,Home Improvement,Central,0.331375138,0.143382688,A,9,347.5172167,0
1216,39,,1519.38,717,3,0.6,14744,48,2,2115.03,Bachelor,Mortgage,Other,Central,-0.864098212,0.265415944,A,1,310.605779,0
1217,43,153860,2647.63,711,8,1.7,4112,24,0,1903.89,High School,Rent,Home Improvement,South,-0.604732467,0.260718237,C,47,55.44271949,0
1218,42,25797,925.2,676,2,6.3,6397,48,0,813.24,Bachelor,Own,Business,South,0.479160154,-1.47392864,A,55,525.1357343,0
1219,37,102733,7017.73,610,4,9.1,11845,36,,1741.67,Bachelor,Mortgage,Medical,West,0.06352278,-0.123422109,A,62,156.0132316,0
1220,32,90468,550.18,612,5,30.6,35212,84,0,15615.34,Bachelor,Own,Medical,West,0.631869132,-0.992969866,B,40,49.39136688,0
1221,65,,1101.65,683,5,1,2497,84,1,1203.33,Bachelor,Rent,Other,West,0.219608928,-1.310378642,A,32,142.2584117,0
1222,33,48063,668.96,687,2,3.7,15171,36,0,3763.45,Bachelor,Rent,Other,South,1.348254099,-0.874275428,A,89,134.8115015,0
1223,30,47960,3165.95,704,4,0.8,4298,48,,5739.17,High School,Rent,Home Improvement,East,-1.426513271,0.243855711,C,95,88.15228616,0
1224,43,54675,2637.87,704,6,12.8,12646,12,0,7913.77,High School,Other,Other,South,1.592593831,-0.773475329,A,40,73.72622081,0
1225,41,34313,770.68,671,3,5.6,31525,60,0,1049.25,PhD,Rent,Debt Consolidation,West,-0.167237247,0.658811057,A,62,10.70129263,0
1226,51,39611,1108.79,586,3,7.3,13170,60,1,2955.73,Bachelor,Rent,Other,North,1.083432608,-0.756051209,D,43,528.2198824,0
1227,37,40377,2371.13,644,4,5.4,15778,36,0,4576.54,None,Mortgage,Medical,Central,0.227747283,-1.439782165,C,29,490.5520206,0
1228,46,51979,3418.3,709,1,8.3,16182,36,2,9842.46,High School,Own,Debt Consolidation,West,0.48021556,-1.356018422,B,53,61.83263682,0
1229,23,35722,1634.55,731,3,8.2,6172,12,1,2918.9,Master,Own,Business,North,-0.453140469,0.878905601,A,22,128.7659337,1
1230,59,15993,2291.85,680,6,15.5,52503,24,0,,High School,Rent,Medical,East,1.995159645,0.772453542,D,31,928.8656655,1
1231,46,39734,1492.36,635,8,,7810,60,1,2023.12,High School,Rent,Home Improvement,Central,0.926265656,1.451356976,D,75,346.3879317,0
1232,38,39004,488.94,850,8,0.8,27315,36,3,8147.23,Bachelor,Rent,Debt Consolidation,East,0.225860362,1.334536755,D,57,623.5027316,0
1233,40,,980.86,611,1,1,11500,84,1,25641.4,High School,Rent,Other,West,-0.715073808,0.7329372,D,73,35.4524437,0
1234,30,112385,695.81,660,6,1.9,5167,24,,1238.36,Bachelor,Mortgage,Home Improvement,North,1.255675542,0.334083923,C,52,306.431636,0
1235,40,61344,1456.58,818,2,3.5,4509,12,1,,High School,Rent,Debt Consolidation,South,-0.899783826,-0.249808205,D,83,43.82202555,0
1236,37,38394,1135.43,594,3,0.5,8850,24,2,3716.1,Bachelor,Own,Home Improvement,East,-0.817446421,1.254671275,B,86,48.60575872,0
1237,22,74030,7881.47,613,6,6.8,4354,12,1,14206.26,Master,Rent,Home Improvement,East,0.022916719,1.010038183,C,37,93.52968975,1
1238,20,47869,1115.95,,3,,13880,48,1,14686.57,Bachelor,Own,Debt Consolidation,South,-0.482626876,-0.231084613,C,34,47.81463056,0
1239,32,52436,1193.07,692,4,2.8,3344,12,1,,High School,Own,Other,Central,-0.333549256,1.666478877,B,79,73.22186029,0
1240,33,23183,1305.34,733,3,1.1,4433,60,0,,PhD,Rent,Business,North,-0.060244192,-0.260324618,D,90,298.1911835,0
1241,39,36478,989.84,501,2,2.6,9952,48,,6629.29,Bachelor,Mortgage,Debt Consolidation,East,-0.516326005,-0.083752422,B,27,495.1938774,0
1242,32,97616,1892.08,560,3,2.4,12641,48,1,8077.22,None,Mortgage,Education,West,-0.359054607,-0.596902839,A,41,92.47930365,0
1243,42,158038,1850.23,658,3,7.9,7414,24,0,,Master,Mortgage,Other,East,-1.012556629,-1.616302106,C,93,294.6181133,0
